Kingdom,Phylum,Class,Order,Family,Genus,Species,TaxName,Prevalence_CRS,Prevalence_NonCRS,Abundance_CRS,Abundance_NonCRS,PercentAbundance_CRS,PercentAbundance_NonCRS,avgRelAbun_CRS,avgRelAbun_NonCRS
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,Actinomyces,10,4,40,196,0.0328,0.5158,0.03278688524590164,0.5157894736842106
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,graevenitzii,Actinomyces graevenitzii,5,2,35,7,0.0287,0.0184,0.028688524590163935,0.01842105263157895
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,odontolyticus,Actinomyces odontolyticus,17,8,185,234,0.1516,0.6158,0.15163934426229508,0.6157894736842104
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,muciniphila,Akkermansia muciniphila,1,1,147,1,0.1205,0.0026,0.12049180327868853,0.002631578947368421
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,NA,Anaerococcus,9,6,699,83,0.573,0.2184,0.5729508196721311,0.21842105263157893
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,nagyae,Anaerococcus nagyae,2,1,11,9,0.009,0.0237,0.009016393442622951,0.023684210526315787
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,octavius,Anaerococcus octavius,7,8,232,118,0.1902,0.3105,0.1901639344262295,0.31052631578947365
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,provenciensis,Anaerococcus provenciensis,1,3,2,93,0.0016,0.2447,0.001639344262295082,0.24473684210526317
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,parvulum,Atopobium parvulum,6,3,44,15,0.0361,0.0395,0.036065573770491806,0.039473684210526314
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,rimae,Atopobium rimae,1,1,23,8,0.0189,0.0211,0.01885245901639344,0.021052631578947368
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Bacteroides,2,1,1521,67,1.2467,0.1763,1.2467213114754099,0.1763157894736842
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,acidifaciens,Bacteroides acidifaciens,2,1,208,71,0.1705,0.1868,0.17049180327868851,0.1868421052631579
Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,Campylobacter,7,4,98,129,0.0803,0.3395,0.08032786885245902,0.3394736842105263
Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,concisus,Campylobacter concisus,13,5,219,208,0.1795,0.5474,0.1795081967213115,0.5473684210526315
Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,gracilis,Campylobacter gracilis,3,NA,308,NA,0.2525,NA,0.25245901639344265,NA
Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,ureolyticus,Campylobacter ureolyticus,1,2,8,16,0.0066,0.0421,0.006557377049180328,0.04210526315789474
Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,leadbetteri,Capnocytophaga leadbetteri,6,1,51,25,0.0418,0.0658,0.04180327868852459,0.06578947368421052
Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,ochracea,Capnocytophaga ochracea,1,NA,36,NA,0.0295,NA,0.029508196721311473,NA
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,acnes,Cutibacterium acnes,34,12,1220,1298,1,3.4158,1,3.4157894736842103
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,granulosum,Cutibacterium granulosum,9,8,148,72,0.1213,0.1895,0.12131147540983607,0.18947368421052632
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,invisus,Dialister invisus,5,2,61,17,0.05,0.0447,0.05,0.04473684210526316
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,micraerophilus,Dialister micraerophilus,NA,1,NA,39,NA,0.1026,NA,0.10263157894736842
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,pneumosintes,Dialister pneumosintes,8,3,393,28,0.3221,0.0737,0.3221311475409836,0.0736842105263158
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,propionicifaciens,Dialister propionicifaciens,2,3,50,24,0.041,0.0632,0.040983606557377046,0.06315789473684211
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Eikenella,NA,Eikenella,1,NA,21,NA,0.0172,NA,0.01721311475409836,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Eikenella,corrodens,Eikenella corrodens,5,NA,63,NA,0.0516,NA,0.05163934426229508,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia,magna,Finegoldia magna,6,9,1392,200,1.141,0.5263,1.140983606557377,0.5263157894736842
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,Fusobacterium,16,3,1813,34,1.4861,0.0895,1.4860655737704918,0.08947368421052633
