general-projectname	general-readlength	general-readlengthr2	general-runname	general-samplename	subsample-rawreads	subsample-subsampledreads	fastqc-meanreadqualityR1	fastqc-meanreadqualityR2	fastqc-pct-adapter	fastqc-pct-deduplicated	fastqc-pct-dimer	fastqc-pct-gc	fastqc-sequencelength	fastqc-totalsequences	fastqspeciesscreen-pct-Adapters	fastqspeciesscreen-pct-Chloroplast	fastqspeciesscreen-pct-Mitochondria	fastqspeciesscreen-pct-NoHit	fastqspeciesscreen-pct-PhiX	fastqspeciesscreen-pct-Vectors	fastqspeciesscreen-pct-ecoli	fastqspeciesscreen-pct-human	fastqspeciesscreen-pct-mouse	fastqspeciesscreen-pct-rRNA
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	234.1	7082713	7082713	33.6	32.7	0.00	31.50	0.00	39	76	2000000	0.00	0.03	0.00	98.75	0.00	0.88	0.24	0.06	0.00	0.04
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	234.2	9509522	9509522	33.7	33.5	0.00	33.12	0.00	34	76	2000000	0.00	0.07	0.00	99.23	0.00	0.63	0.00	0.00	0.00	0.07
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	234.3	10125530	10125530	33.7	33.5	0.00	33.30	0.00	34	76	2000000	0.00	0.05	0.00	99.27	0.00	0.65	0.00	0.00	0.00	0.03
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	243.1	11358507	11358507	33.8	33.6	0.00	34.28	0.00	35	76	2000000	0.00	0.01	0.00	98.82	0.00	1.05	0.04	0.00	0.00	0.08
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	243.2	11148778	11148778	33.7	32.7	0.00	36.15	0.00	35	76	2000000	0.00	0.04	0.00	99.01	0.00	0.93	0.00	0.00	0.00	0.02
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	243.3	10376560	10376560	33.7	33.5	0.00	34.88	0.00	34	76	2000000	0.00	0.02	0.00	98.80	0.00	1.14	0.00	0.01	0.00	0.03
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	262.1	11789038	11789038	33.7	33.5	0.00	31.94	0.00	35	76	2000000	0.00	0.05	0.00	98.22	0.00	1.33	0.35	0.00	0.02	0.03
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	262.2	10551493	10551493	33.7	33.5	0.00	31.22	0.00	35	76	2000000	0.00	0.03	0.00	98.65	0.00	1.25	0.02	0.00	0.00	0.05
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	262.3	9354962	9354962	33.5	31.9	0.00	33.35	0.00	35	76	2000000	0.00	0.01	0.00	99.20	0.00	0.73	0.01	0.00	0.01	0.04
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	MMM.1.OCT2019	11079312	11079312	33.7	33.6	0.00	32.41	0.00	35	76	2000000	0.00	0.01	0.00	98.51	0.00	1.40	0.01	0.03	0.00	0.04
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	MMM.2.OCT2019	10585133	10585133	33.7	33.5	0.00	32.32	0.00	35	76	2000000	0.00	0.08	0.00	98.64	0.00	1.24	0.00	0.00	0.00	0.04
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	MMM.3.OCT2019	10368310	10368310	33.7	33.5	0.00	32.81	0.00	35	76	2000000	0.00	0.05	0.00	98.08	0.00	1.82	0.00	0.01	0.00	0.04
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	MMM.GLU.1.OCT2019	10390552	10390552	33.7	32.6	0.00	34.59	0.00	35	76	2000000	0.00	0.04	0.00	99.25	0.00	0.66	0.02	0.01	0.00	0.02
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	MMM.GLU.2.OCT2019	9314880	9314880	33.7	33.3	0.00	33.86	0.00	35	76	2000000	0.00	0.04	0.00	99.24	0.00	0.68	0.01	0.00	0.00	0.03
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	MMM.GLU.3.OCT2019	10368946	10368946	33.8	33.6	0.00	32.87	0.00	34	76	2000000	0.00	0.04	0.00	99.12	0.00	0.72	0.01	0.07	0.02	0.02
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	MMM.LACCAA.1.OCT2019	10099424	10099424	33.7	33.0	0.00	32.95	0.00	35	76	2000000	0.00	0.05	0.00	98.51	0.00	1.37	0.00	0.01	0.01	0.05
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	MMM.LACCAA.2.OCT2019	11016966	11016966	33.8	33.5	0.00	31.94	0.00	35	76	2000000	0.00	0.05	0.00	98.57	0.00	1.27	0.03	0.02	0.00	0.06
Hunter_Project_023	76	76	191217_NB551164_0202_AHWNJWAFXY	MMM.LACCAA.3.OCT2019	11408939	11408939	33.8	33.6	0.00	31.52	0.00	34	76	2000000	0.00	0.06	0.00	98.70	0.00	1.14	0.01	0.00	0.03	0.06
undef	76.00	76.00	191217_NB551164_0202_AHWNJWAFXY	Mean	10329420.28	10329420.28	33.71	33.26	0.00	33.06	0.00	34.94	76.00	2000000.00	0.00	0.04	0.00	98.81	0.00	1.05	0.04	0.01	0.01	0.04	
